pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿En qué ciudad vive Walter White en *Breaking Bad*?,Albuquerque,Phoenix,Las Vegas,Tucson,1
¿Quién es el villano principal en *Avengers: Endgame*?,Loki,Thanos,Ultron,Hela,2
¿Cuál es el nombre del personaje principal de *Harry Potter*?,Ron Weasley,Draco Malfoy,Harry Potter,Hermione Granger,3
¿Qué casa ganó más veces la Copa de las Casas en *Harry Potter*?,Hufflepuff,Slytherin,Ravenclaw,Gryffindor,4
¿En qué año se estrenó la primera película de *Star Wars*?,1975,1977,1980,1983,2
¿Qué superhéroe tiene como alter ego a Bruce Wayne?,Superman,Spiderman,Batman,Iron Man,3
¿Cómo se llama el planeta de origen de Superman?,Krypton,Asgard,Tierra,Vulcano,1
¿Qué director es famoso por las películas *Inception* y *Dunkirk*?,Steven Spielberg,Christopher Nolan,Quentin Tarantino,Martin Scorsese,2
¿Qué personaje popularizó la frase 'Winter is coming' en *Game of Thrones*?,Tyrion Lannister,Arya Stark,Ned Stark,Jon Snow,3
¿En qué serie aparece el personaje Michael Scott?,Friends,The Office,Parks and Recreation,Brooklyn Nine-Nine,2
¿Qué película tiene como personaje principal al androide llamado T-800?,Matrix,Blade Runner,Terminator,RoboCop,3
¿Quién dirigió la película *Titanic*?,James Cameron,Steven Spielberg,Ridley Scott,Peter Jackson,1
¿Cómo se llama la serie en la que un grupo de amigos vive en Central Park?,How I Met Your Mother,Seinfeld,Friends,The Big Bang Theory,3
¿Qué película animada presenta a un panda practicante de kung-fu?,Mulan,Madagascar,Ice Age,Kung Fu Panda,4
¿Cuál es el verdadero nombre de Iron Man?,Bruce Banner,Tony Stark,Steve Rogers,Peter Parker,2
¿Qué serie cuenta la historia de un reino ficticio llamado Westeros?,The Witcher,Game of Thrones,Vikings,Shadow and Bone,2
¿Qué personaje de *Stranger Things* tiene poderes telequinéticos?,Mike,Eleven,Will,Dustin,2
¿Qué película de Pixar trata de un ratón que quiere ser chef?,Coco,Cars,Ratatouille,Up,3
¿Qué película de Disney tiene como villana principal a Cruella de Vil?,La Bella y la Bestia,Blancanieves,Cenicienta,101 Dálmatas,4
¿En qué serie aparece el personaje Daenerys Targaryen?,Vikings,Game of Thrones,Shadowhunters,The Wheel of Time,2
¿Quién protagonizó la película *Forrest Gump*?,Leonardo DiCaprio,Tom Cruise,Tom Hanks,Brad Pitt,3
¿Cómo se llama el dragón de Daenerys que sobrevive al final de *Game of Thrones*?,Viserion,Rhaegal,Drogon,Balerion,3
¿Qué película de Disney presenta a un león llamado Simba?,Bambi,El Rey León,Tarzán,Dumbo,2
¿En qué saga aparece el personaje de Katniss Everdeen?,Divergente,Maze Runner,Harry Potter,Los Juegos del Hambre,4
¿Quién es el creador de la serie *The Mandalorian*?,Jon Favreau,J.J. Abrams,George Lucas,Dave Filoni,1
¿Cuál es el nombre del capitán del barco en *Piratas del Caribe*?,Will Turner,Héctor Barbossa,Jack Sparrow,Davy Jones,3
¿Qué película musical cuenta la historia de PT Barnum?,La La Land,El Gran Showman,Cats,Moulin Rouge,2
¿Qué serie sigue las aventuras de un cazarrecompensas mandaloriano?,Andor,Obi-Wan Kenobi,The Mandalorian,The Book of Boba Fett,3
